,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
10769,California,6,3801812,63143,22.9,Democrats,True,False,Democrats,True,False
10770,Connecticut,9,348350,8261,18.9,Democrats,True,False,Democrats,True,False
10771,District of Columbia,11,49158,1137,18.5,Democrats,True,False,Democrats,True,False
10772,Indiana,18,752437,13745,35.9,Republicans,False,True,Republicans,False,True
10773,Iowa,19,372525,6099,34.2,Republicans,False,True,Republicans,False,True
10774,Kansas,20,317387,5140,32.4,Republicans,False,True,Republicans,False,True
10775,Kentucky,21,463294,7203,43.4,Republicans,False,True,Republicans,False,True
10776,Maryland,24,461402,9683,28.0,Democrats,True,False,Democrats,True,False
10777,Minnesota,27,603707,7596,23.5,Democrats,True,False,Democrats,True,False
10778,Mississippi,28,319115,7353,49.7,Republicans,False,True,Republicans,False,True
10779,Nebraska,31,224144,2517,31.1,Republicans,False,True,Republicans,False,True
10780,New Jersey,34,1019356,26327,22.7,Democrats,True,False,Democrats,True,False
10781,New York,36,2107172,52958,23.1,Democrats,True,False,Democrats,True,False
10782,North Carolina,37,1008494,13287,42.1,Republicans,False,True,Republicans,False,True
10783,Ohio,39,1106796,20091,32.0,Republicans,False,True,Republicans,False,True
10784,Oklahoma,40,454394,7325,46.5,Republicans,False,True,Republicans,False,True
10785,South Carolina,45,594805,9776,42.0,Republicans,False,True,Republicans,False,True
10786,Utah,49,409435,2323,30.3,Republicans,False,True,Republicans,False,True
10787,Vermont,50,24320,256,16.7,Democrats,True,False,Democrats,True,False
10788,West Virginia,54,162939,2849,46.1,Republicans,False,True,Republicans,False,True
10789,Wisconsin,55,676288,8013,29.7,Republicans,False,True,Republicans,False,True
10790,Alaska,2,70065,356,26.2,Republicans,False,True,Republicans,False,True
10791,Arizona,4,886752,17768,33.0,Republicans,False,True,Republicans,False,True
10792,California,6,3802390,63145,22.9,Democrats,True,False,Democrats,True,False
